Urban,Postcode
Antwerpen,2000
Aartselaar,2630
Boechout,2530
Boom,2850
Borsbeek,2150
Brasschaat,2930
Edegem,2650
Hemiksem,2620
Hove,2540
Kapellen,2950
Mortsel,2640
Niel,2845
Schelle,2627
Schoten,2900
Wommelgem,2160
Kontich,2550
Lint,2547
Schilde,2970
Stabroek,2940
Wijnegem,2110
Zwijndrecht,2070
Brugge,8000
Bruxelles,1000
Anderlecht,1070
Auderghem,1160
Berchem-Sainte-Agathe,1082
Etterbeek,1040
Evere,1140
Forest,7910
Ganshoren,1083
Ixelles,1050
Jette,1090
Koekelberg,1081
Molenbeek-Saint-Jean,1080
Saint-Gilles,1060
Saint-Josse-Ten-Noode,1210
Schaerbeek,1030
Uccle,1180
Woluwe-Saint-Lambert,1200
Woluwe-Saint-Pierre,1150
Watermael-Boitsfort,1170
Beersel,1650
Dilbeek,1700
Drogenbos,1620
Grimbergen,1850
Halle,2980
Kraainem,1950
Linkebeek,1630
Machelen,1830
Sint-Pieters-Leeuw,1600
Tervuren,3080
Vilvoorde,1800
Wemmel,1780
Wezembeek-Oppem,1970
Zaventem,1930
Braine-L'alleud,1420
Asse,1730
Kortenberg,3070
Steenokkerzeel,1820
Hoeilaart,1560
Overijse,3090
La Hulpe,1310
Rixensart,1330
Wavre,1300
Charleroi,6000
Châtelet,6200
Courcelles,6180
Farciennes,6240
Montigny-le-Tilleul,6110
Genk,3600
Gent,9000
De Pinte,9840
Merelbeke,9820
Sint-Martens-Latem,9830
Evergem,9940
Lochristi,9080
Melle,9090
Hasselt,3500
Zonhoven,3520
Kortrijk,8500
Wevelgem,8560
Leuven,3000
Herent,3020
Liège,4000
Ans,4430
Beyne-Heusay,4610
Chaudfontaine,4050
Engis,4480
Flémalle,4400
Fléron,4620
Grâce-Hollogne,4460
Herstal,4040
Oupeye,4680
Saint-Nicolas,4420
Seraing,4100
Soumagne,4630
Mechelen,2800
Bonheiden,2820
Sint-Katelijne-Waver,2860
Mons,7000
Boussu,7300
Colfontaine,7340
Dour,7370
Frameries,7080
Quaregnon,7390
Namur,5000
Oostende,8400
Bredene,8450
Roeselare,8800
Sint-Niklaas,9100
Tournai,7500
Turnhout,2300
Oud-Turnhout,2360
Verviers,4800
Dison,4820
Pepinster,4860